typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,nutrient,hs_code
C,A,20230101,2023,52,2023,24,AGO,Angola,M,Import,0,W00,World,0,W00,World,H5,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12606493.88,False,8,kg,12606493.88,False,12606493.88,False,0.0,False,12267279.89,10542932.0,12267279.89,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,24,AGO,Angola,M,Import,76,BRA,Brazil,0,W00,World,H5,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,199.0,False,8,kg,199.0,False,199.0,False,0.0,False,126.33,97.61,126.33,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,24,AGO,Angola,M,Import,156,CHN,China,0,W00,World,H5,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10382136.89,False,8,kg,10382136.89,False,10382136.89,False,0.0,False,10483523.06,9062121.74,10483523.06,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,24,AGO,Angola,M,Import,504,MAR,Morocco,0,W00,World,H5,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,601740.0,False,8,kg,601740.0,False,601740.0,False,0.0,False,624930.65,528456.98,624930.65,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,24,AGO,Angola,M,Import,516,NAM,Namibia,0,W00,World,H5,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50.0,False,8,kg,50.0,False,50.0,False,0.0,False,282.87,282.87,282.87,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,24,AGO,Angola,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,21030.0,False,8,kg,21030.0,False,21030.0,False,0.0,False,2857.56,2735.84,2857.56,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,24,AGO,Angola,M,Import,620,PRT,Portugal,0,W00,World,H5,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,338566.99,False,8,kg,338566.99,False,338566.99,False,0.0,False,303374.99,269868.07,303374.99,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,24,AGO,Angola,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,250000.0,False,8,kg,250000.0,False,250000.0,False,0.0,False,171250.06,153764.0,171250.06,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,24,AGO,Angola,M,Import,699,IND,India,0,W00,World,H5,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,210000.0,False,8,kg,210000.0,False,210000.0,False,0.0,False,97052.41,59581.48,97052.41,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,24,AGO,Angola,M,Import,704,VNM,Viet Nam,0,W00,World,H5,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,300000.0,False,8,kg,300000.0,False,300000.0,False,0.0,False,220581.53,176422.89,220581.53,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,24,AGO,Angola,M,Import,710,ZAF,South Africa,0,W00,World,H5,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,317851.0,False,8,kg,317851.0,False,317851.0,False,0.0,False,205759.56,159272.14,205759.56,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,24,AGO,Angola,M,Import,788,TUN,Tunisia,0,W00,World,H5,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,100600.0,False,8,kg,100600.0,False,100600.0,False,0.0,False,98190.21,85234.55,98190.21,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,24,AGO,Angola,M,Import,818,EGY,Egypt,0,W00,World,H5,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,84320.0,False,8,kg,84320.0,False,84320.0,False,0.0,False,59350.66,45093.83,59350.66,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,72,BWA,Botswana,M,Import,0,W00,World,0,W00,World,H6,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,913672.01,False,8,kg,887602.01,False,1235027.11,False,0.0,False,721927.292,,721927.292,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,72,BWA,Botswana,M,Import,276,DEU,Germany,0,W00,World,H6,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.0,False,8,kg,2.0,False,4.1,False,0.0,False,18.225,,18.225,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,72,BWA,Botswana,M,Import,710,ZAF,South Africa,0,W00,World,H6,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,913670.01,False,8,kg,887600.01,False,1235023.01,False,0.0,False,721909.067,,721909.067,0,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,108,BDI,Burundi,M,Import,0,W00,World,0,W00,World,H6,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25183348.053,True,-1,N/A,0.0,False,25183348.053,True,0.0,False,11904442.384,,11904442.384,6,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,108,BDI,Burundi,M,Import,404,KEN,Kenya,0,W00,World,H6,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27943.362,True,-1,N/A,0.0,False,27943.362,True,0.0,False,13209.131,,13209.131,6,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,108,BDI,Burundi,M,Import,682,SAU,Saudi Arabia,0,W00,World,H6,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4128828.367,True,-1,N/A,0.0,False,4128828.367,True,0.0,False,1951742.052,,1951742.052,6,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,108,BDI,Burundi,M,Import,699,IND,India,0,W00,World,H6,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14107.314,True,-1,N/A,0.0,False,14107.314,True,0.0,False,6668.681,,6668.681,6,False,True,Urea (N),310210
C,A,20230101,2023,52,2023,108,BDI,Burundi,M,Import,834,TZA,United Rep. of Tanzania,0,W00,World,H6,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,21011198.431,True,-1,N/A,0.0,False,21011198.431,True,0.0,False,9932221.904,,9932221.904,6,False,True,Urea (N),310210
